ISIN,NAME,Country_Code,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
AT000000STR1,STRABAG SE,AT,42.56,41.5,33.35,32.27,33.44,39.81,42.32,36.03,37.51,37.97,77.52,77.44,81.25,81.14,80.54,75.93
AT00000VIE62,FLUGHAFEN WIEN,AT,18.94,20.6,19.41,22.71,35.97,37.49,36.83,36.16,41.09,40.27,54.13,47.44,44.88,42.69,44.49,
AT0000606306,RAIFFEISEN BANK INTL.,AT,30.04,34.03,25.67,65.58,61.71,49.06,51.3,51.14,53.54,71.45,75.91,90.95,91.57,87.49,86.93,85.91
AT0000652011,ERSTE GROUP BANK,AT,35.48,36.47,36.4,34.92,34.34,35.21,36.36,47.22,48.56,47.44,83.09,80.42,82.81,79.64,74.79,74.31
AT0000720008,TELEKOM AUSTRIA,AT,56.13,59.13,65.76,63.31,65.02,74.4,73.83,68.47,66.16,62.4,63.65,60.42,57.78,75.31,71.21,71.83
AT0000730007,ANDRITZ,AT,25.33,20.98,17.63,66.62,51.95,47.5,50.11,52.07,45.57,56.84,59.24,75.01,76.17,76.0,76.78,77.3
AT0000743059,OMV,AT,76.46,90.18,83.4,88.1,76.81,80.92,83.16,83.34,86.89,86.48,82.98,82.7,82.43,83.21,90.87,89.33
AT0000746409,VERBUND,AT,44.78,54.34,50.77,52.06,53.31,42.43,44.61,42.82,50.22,55.42,53.9,51.97,64.04,62.25,75.72,69.61
AT0000831706,WIENERBERGER,AT,48.33,19.92,22.91,30.29,32.29,36.42,28.24,37.79,52.64,40.23,41.11,43.32,44.13,53.72,76.84,74.36
AT0000908504,VIENNA INSURANCE GROUP A,AT,22.72,42.1,45.72,40.24,25.72,38.6,39.12,40.28,41.64,61.27,61.06,61.94,59.31,61.48,61.78,55.56
AT0000937503,VOESTALPINE,AT,13.81,17.37,31.68,35.65,40.85,36.68,40.37,47.55,48.13,71.26,65.79,62.63,59.43,74.13,69.86,67.57
AT0000938204,MAYR-MELNHOF KARTON,AT,20.57,30.05,29.31,25.45,35.71,37.88,38.38,33.74,41.62,35.86,43.92,47.36,50.82,52.68,66.0,70.67
AT0000A21KS2,IMMOFINANZ,AT,33.21,15.31,13.2,29.4,31.31,26.64,26.25,30.17,31.4,27.37,59.93,66.88,61.88,70.75,72.26,69.9
BE0003470755,SOLVAY,BE,26.3,45.71,41.66,48.97,64.12,65.06,63.38,75.4,84.96,82.93,75.38,72.95,70.28,75.72,80.3,78.4
BE0003565737,KBC GROUP,BE,86.42,91.36,87.54,90.57,89.52,88.87,89.32,58.64,77.47,74.49,74.93,79.12,79.86,75.21,75.86,74.86
BE0003593044,COFINIMMO,BE,67.82,61.17,63.45,66.38,63.42,60.77,56.24,60.6,60.38,59.49,58.87,62.41,70.85,68.5,66.24,89.01
BE0003717312,SOFINA,BE,2.93,3.25,4.11,7.77,7.9,8.43,5.08,14.15,10.43,16.5,22.12,17.06,38.38,40.85,43.67,45.96
BE0003735496,ORANGE BELGIUM,BE,15.81,33.77,22.72,40.02,34.28,31.48,36.05,26.89,32.21,23.25,26.27,46.24,49.97,45.0,44.32,34.08
BE0003739530,UCB,BE,23.41,15.54,23.77,27.6,32.84,38.86,38.2,48.12,63.09,61.19,85.54,85.36,89.9,91.9,88.09,91.95
BE0003755692,AGFA-GEVAERT,BE,63.41,63.45,65.84,63.82,58.89,69.63,72.29,72.21,81.75,86.19,81.99,81.26,79.23,79.23,78.59,78.11
BE0003797140,GBL NEW,BE,16.36,14.04,8.39,8.49,7.04,5.97,15.67,13.58,13.41,17.01,20.28,42.49,48.04,83.03,80.88,79.97
BE0003810273,PROXIMUS,BE,45.25,69.11,75.98,78.03,68.62,58.29,55.44,49.91,74.26,79.0,84.09,78.12,72.98,79.14,80.81,78.22
BE0974256852,COLRUYT GROUP,BE,38.59,51.05,43.64,51.2,42.03,39.8,45.74,48.44,55.82,51.68,52.22,52.42,52.45,59.19,55.5,57.89
BE0974258874,BEKAERT (D),BE,42.45,40.57,49.54,45.7,45.67,35.39,35.34,41.61,68.03,68.65,69.38,70.04,66.9,69.09,67.82,71.91
BE0974264930,AGEAS (EX-FORTIS),BE,70.3,29.95,20.71,24.27,20.27,16.45,14.25,14.95,39.42,33.31,25.75,34.9,38.18,39.83,45.97,60.63
BE0974293251,ANHEUSER-BUSCH INBEV,BE,52.55,39.95,38.34,30.58,32.16,32.85,41.88,51.15,40.34,47.77,50.66,47.18,46.68,51.38,77.09,73.55
BE0974320526,UMICORE,BE,45.23,50.38,63.4,58.78,73.88,73.19,62.01,56.64,60.48,70.31,70.64,73.98,72.11,72.27,72.7,83.33
CH0000816824,OC OERLIKON CORPORATION,CH,21.59,21.9,21.23,53.11,54.81,57.39,51.07,59.94,54.09,55.53,57.18,54.35,54.43,52.15,72.12,
CH0008038389,SWISS PRIME SITE,CH,5.3,17.37,25.83,14.8,23.01,18.93,16.74,35.56,65.43,65.24,67.56,65.09,68.63,66.69,64.62,64.55
CH0008742519,SWISSCOM 'R',CH,57.91,71.08,58.31,58.99,65.77,61.68,69.07,70.95,78.54,61.85,63.81,67.79,65.15,72.89,63.49,66.12
CH0010570759,CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH,16.73,10.94,9.64,47.98,53.71,60.88,65.27,59.94,67.33,70.33,72.85,69.46,79.92,80.7,84.82,
CH0010645932,GIVAUDAN 'N',CH,53.44,42.16,48.35,58.23,66.85,65.36,73.02,76.4,66.72,59.75,73.85,73.28,70.03,73.42,72.56,73.92
CH0011075394,ZURICH INSURANCE GROUP,CH,43.56,43.78,49.6,46.17,45.85,49.09,52.9,56.65,59.59,79.4,82.44,85.42,91.93,91.07,86.79,
CH0011432447,BASILEA PHARMACEUTICA 'R',CH,10.16,21.14,42.18,44.16,58.8,50.17,54.09,58.54,72.5,63.71,68.31,64.8,44.38,41.94,37.93,35.29
CH0012005267,NOVARTIS 'R',CH,94.19,89.95,87.7,90.4,87.91,86.52,89.4,90.25,89.88,89.47,91.45,91.48,93.14,93.15,92.9,
CH0012032048,ROCHE HOLDING,CH,76.3,82.39,79.03,79.69,77.43,86.47,89.27,96.22,96.41,97.01,97.35,97.26,97.68,97.52,97.78,97.66
CH0012138530,CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH,68.62,79.6,84.57,86.3,87.31,85.22,77.14,76.13,80.46,78.1,74.3,72.42,83.45,80.19,81.52,73.32
CH0012138605,ADECCO GROUP,CH,62.94,57.01,58.31,68.07,57.0,66.04,62.66,60.32,73.16,73.07,65.76,59.22,75.33,73.51,71.87,70.83
CH0012142631,CLARIANT,CH,38.62,63.24,50.59,64.66,61.36,75.54,70.91,74.06,75.98,86.7,87.53,86.83,86.27,88.62,88.76,89.57
CH0012214059,HOLCIM,CH,58.79,57.75,57.68,52.76,55.88,50.41,59.8,77.97,77.58,68.47,72.86,72.9,68.08,69.53,75.59,71.26
CH0012221716,ABB LTD N,CH,87.15,83.05,89.46,87.79,91.52,91.01,88.57,87.24,84.29,92.29,94.48,94.97,94.19,93.61,94.24,88.81
CH0012255151,THE SWATCH GROUP,CH,33.88,27.92,21.44,17.79,17.72,20.92,12.4,21.68,27.25,25.74,36.38,35.59,35.99,33.01,59.76,70.56
CH0012268360,KUDELSKI 'B',CH,7.37,4.02,3.63,5.12,2.07,3.81,5.86,5.75,6.61,19.81,20.17,17.9,21.01,21.32,18.7,17.61
CH0012410517,BALOISE HOLDING,CH,51.42,45.18,44.85,52.07,52.16,51.01,48.92,42.42,44.57,37.69,35.91,33.95,34.93,31.36,32.44,31.7
CH0012549785,SONOVA N,CH,15.02,34.18,51.76,48.09,50.9,41.18,48.98,65.88,70.2,69.65,86.22,86.96,91.57,91.57,91.39,91.89
CH0013841017,LONZA GROUP,CH,66.79,64.43,70.73,71.4,66.28,62.5,64.76,80.37,86.44,89.97,94.48,93.2,93.21,92.8,91.31,90.56
CH0014786500,VALIANT 'R',CH,10.81,14.74,32.77,40.82,37.16,38.02,37.56,45.35,44.29,47.59,46.35,42.06,39.64,40.81,41.79,38.84
CH0014852781,SWISS LIFE HOLDING,CH,31.02,58.09,52.81,62.3,48.7,54.27,62.26,51.61,59.63,62.13,62.81,71.2,68.18,64.97,71.08,70.14
CH0018294154,PSP SWISS PROPERTY AG,CH,27.65,22.19,27.09,23.14,20.64,16.69,22.73,21.83,22.82,19.75,29.5,39.46,39.89,50.35,66.51,62.02
CH0022268228,EFG INTERNATIONAL N,CH,13.98,10.39,20.71,22.68,24.52,17.5,16.58,22.28,21.51,20.75,17.91,11.46,24.39,16.12,27.5,30.91
CH0024608827,PARTNERS GROUP HOLDING,CH,19.92,23.42,19.22,16.7,9.89,18.3,17.74,16.67,18.81,17.99,48.35,48.74,51.56,50.2,63.32,74.67
CH0024638212,SCHINDLER 'R',CH,52.5,39.38,45.66,47.15,43.09,41.1,39.04,39.05,50.16,38.92,46.61,50.65,52.42,53.11,55.09,54.7
CH0025238863,KUEHNE UND NAGEL INTERNATIONAL,CH,32.08,26.45,52.0,53.35,55.16,56.02,44.56,52.0,57.67,55.62,67.27,69.2,74.19,71.29,75.37,74.05
CH0025751329,LOGITECH 'R',CH,9.71,14.1,11.54,17.72,20.74,15.37,16.62,14.52,22.01,66.91,70.87,68.13,72.53,71.75,80.06,77.09
CH0030170408,GEBERIT 'R',CH,84.07,84.16,86.93,85.47,88.44,93.2,92.32,86.45,89.32,81.72,90.54,93.75,93.1,95.25,94.36,92.66
CH0038388911,SULZER 'R',CH,55.2,57.02,77.08,81.15,87.2,80.82,85.71,84.63,75.39,53.97,48.38,36.95,60.25,57.52,74.27,71.72
CH0038863350,NESTLE 'N',CH,82.55,89.34,94.3,95.32,96.48,97.49,97.04,96.0,97.55,97.11,97.22,96.32,96.53,97.12,88.83,
CH0044328745,CHUBB,CH,24.35,42.17,39.75,48.64,43.54,35.94,31.71,30.42,35.17,45.94,43.18,42.28,43.04,35.86,37.8,54.26
CH0048265513,TRANSOCEAN,CH,23.68,30.14,31.31,28.46,44.7,43.11,37.05,42.07,27.87,70.34,61.38,67.72,59.41,49.95,47.04,
CH0102484968,JULIUS BAER GRUPPE,CH,23.03,30.75,35.42,30.38,42.57,35.84,29.74,25.85,34.63,45.3,58.09,54.8,53.05,68.29,65.76,65.28
CH0114405324,GARMIN,CH,50.55,36.15,46.5,36.38,36.18,60.98,61.33,60.19,62.96,61.87,63.07,57.2,65.13,65.64,62.38,70.77
CH0126881561,SWISS RE,CH,81.85,68.64,65.86,65.5,71.44,70.21,73.48,81.97,72.12,73.76,64.79,62.18,74.52,76.09,80.34,78.56
CH0210483332,RICHEMONT N,CH,72.18,67.51,67.7,69.6,69.33,70.85,76.38,79.84,71.89,68.92,68.04,66.28,67.08,65.33,66.96,81.57
