ISIN,NAME,Country_Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AT00000VIE62,FLUGHAFEN WIEN,AT,20.6,19.41,22.71,35.97,37.49,36.83,36.16,41.09,40.27,54.13,47.44,44.88,42.69
AT0000652011,ERSTE GROUP BANK,AT,36.47,36.4,34.92,34.34,35.21,36.36,47.22,48.56,47.44,83.09,80.42,82.81,79.64
AT0000743059,OMV,AT,90.18,83.4,88.1,76.81,80.92,83.16,83.34,86.89,86.48,82.98,82.7,82.43,83.21
AT0000746409,VERBUND,AT,54.34,50.77,52.06,53.31,42.43,44.61,42.82,50.22,55.42,53.9,51.97,64.04,62.25
AT0000831706,WIENERBERGER,AT,19.92,22.91,30.29,32.29,36.42,28.24,37.79,52.64,40.23,41.11,43.32,44.13,53.72
AT0000908504,VIENNA INSURANCE GROUP A,AT,42.1,45.72,40.24,25.72,38.6,39.12,40.28,41.64,61.27,61.06,61.94,59.31,61.48
AT0000937503,VOESTALPINE,AT,17.37,31.68,35.65,40.85,36.68,40.37,47.55,48.13,71.26,65.79,62.63,59.43,74.13
AT0000938204,MAYR-MELNHOF KARTON,AT,30.05,29.31,25.45,35.71,37.88,38.38,33.74,41.62,35.86,43.92,47.36,50.82,52.68
AT0000A21KS2,IMMOFINANZ,AT,15.31,13.2,29.4,31.31,26.64,26.25,30.17,31.4,27.37,59.93,66.88,61.88,70.75
BE0003470755,SOLVAY,BE,45.71,41.66,48.97,64.12,65.06,63.38,75.4,84.96,82.93,75.38,72.95,70.28,75.72
BE0003565737,KBC GROUP,BE,91.36,87.54,90.57,89.52,88.87,89.32,58.64,77.47,74.49,74.93,79.12,79.86,75.21
BE0003593044,COFINIMMO,BE,61.17,63.45,66.38,63.42,60.77,56.24,60.6,60.38,59.49,58.87,62.41,70.85,68.5
BE0003717312,SOFINA,BE,3.25,4.11,7.77,7.9,8.43,5.08,14.15,10.43,16.5,22.12,17.06,38.38,40.85
BE0003735496,ORANGE BELGIUM,BE,33.77,22.72,40.02,34.28,31.48,36.05,26.89,32.21,23.25,26.27,46.24,49.97,45.0
BE0003739530,UCB,BE,15.54,23.77,27.6,32.84,38.86,38.2,48.12,63.09,61.19,85.54,85.36,89.9,91.9
BE0003755692,AGFA-GEVAERT,BE,63.45,65.84,63.82,58.89,69.63,72.29,72.21,81.75,86.19,81.99,81.26,79.23,79.23
BE0003797140,GBL NEW,BE,14.04,8.39,8.49,7.04,5.97,15.67,13.58,13.41,17.01,20.28,42.49,48.04,83.03
BE0974256852,COLRUYT GROUP,BE,51.05,43.64,51.2,42.03,39.8,45.74,48.44,55.82,51.68,52.22,52.42,52.45,59.19
BE0974258874,BEKAERT (D),BE,40.57,49.54,45.7,45.67,35.39,35.34,41.61,68.03,68.65,69.38,70.04,66.9,69.09
BE0974264930,AGEAS (EX-FORTIS),BE,29.95,20.71,24.27,20.27,16.45,14.25,14.95,39.42,33.31,25.75,34.9,38.18,39.83
BE0974320526,UMICORE,BE,50.38,63.4,58.78,73.88,73.19,62.01,56.64,60.48,70.31,70.64,73.98,72.11,72.27
CH0000816824,OC OERLIKON CORPORATION,CH,21.9,21.23,53.11,54.81,57.39,51.07,59.94,54.09,55.53,57.18,54.35,54.43,52.15
CH0008742519,SWISSCOM 'R',CH,71.08,58.31,58.99,65.77,61.68,69.07,70.95,78.54,61.85,63.81,67.79,65.15,72.89
CH0010570759,CHOCOLADEFABRIKEN LINDT & SPRUENGLI,CH,10.94,9.64,47.98,53.71,60.88,65.27,59.94,67.33,70.33,72.85,69.46,79.92,80.7
CH0011075394,ZURICH INSURANCE GROUP,CH,43.78,49.6,46.17,45.85,49.09,52.9,56.65,59.59,79.4,82.44,85.42,91.93,91.07
CH0012005267,NOVARTIS 'R',CH,89.95,87.7,90.4,87.91,86.52,89.4,90.25,89.88,89.47,91.45,91.48,93.14,93.15
CH0012032048,ROCHE HOLDING,CH,82.39,79.03,79.69,77.43,86.47,89.27,96.22,96.41,97.01,97.35,97.26,97.68,97.52
CH0012138530,CREDIT SUISSE GROUP DEAD - DELIST.14/06/23,CH,79.6,84.57,86.3,87.31,85.22,77.14,76.13,80.46,78.1,74.3,72.42,83.45,80.19
CH0012138605,ADECCO GROUP,CH,57.01,58.31,68.07,57.0,66.04,62.66,60.32,73.16,73.07,65.76,59.22,75.33,73.51
CH0012142631,CLARIANT,CH,63.24,50.59,64.66,61.36,75.54,70.91,74.06,75.98,86.7,87.53,86.83,86.27,88.62
CH0012214059,HOLCIM,CH,57.75,57.68,52.76,55.88,50.41,59.8,77.97,77.58,68.47,72.86,72.9,68.08,69.53
CH0012221716,ABB LTD N,CH,83.05,89.46,87.79,91.52,91.01,88.57,87.24,84.29,92.29,94.48,94.97,94.19,93.61
